
,,,,,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,,,,
Rk,Player,Age,Pos,Date,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,S,S%,SHFT,TOI
1201,Luke Glendening\glendlu01,26-049,C,2016-03-10,DET,,WPG,W,0,0,0,0,2,0,0,0,1,0.0,24,17:30
1202,Jonathan Ericsson\ericsjo01,32-008,D,2016-03-10,DET,,WPG,W,1,0,1,1,2,1,0,0,2,50.0,27,15:45
1203,Danny DeKeyser\dekeyda01,26-003,D,2016-03-10,DET,,WPG,W,0,0,0,-2,0,0,0,0,0,,33,23:16
1204,Pavel Datsyuk\datsypa01,37-132,C,2016-03-10,DET,,WPG,W,0,0,0,1,0,0,0,0,6,0.0,25,18:35
1205,Andreas Athanasiou\athanan01,21-149,C,2016-03-10,DET,,WPG,W,0,0,0,-1,0,0,0,0,2,0.0,11,8:51
1206,Justin Abdelkader\abdelju01,29-014,LW,2016-03-10,DET,,WPG,W,1,1,2,1,2,1,0,0,2,50.0,25,16:29
1207,Henrik Zetterberg\zettehe01,35-211,LW,2016-03-12,DET,,NYR,W,0,1,1,-1,0,0,0,0,5,0.0,29,21:07
1208,Tomas Tatar\tatarto01,25-264,C,2016-03-12,DET,,NYR,W,0,0,0,0,0,0,0,0,3,0.0,19,13:30
1209,Brendan Smith\smithbr05,27-033,D,2016-03-12,DET,,NYR,W,0,0,0,0,2,0,0,0,0,,28,18:39
1210,Riley Sheahan\sheahri01,24-270,C,2016-03-12,DET,,NYR,W,0,0,0,0,0,0,0,0,0,,19,12:46
1211,Brad Richards\richabr01,35-051,C,2016-03-12,DET,,NYR,W,1,0,1,1,0,0,1,0,4,25.0,18,14:16
1212,Kyle Quincey\quincky01,30-153,D,2016-03-12,DET,,NYR,W,0,0,0,0,0,0,0,0,1,0.0,31,21:42
1213,Teemu Pulkkinen\pulkkte01,24-070,RW,2016-03-12,DET,,NYR,W,0,0,0,0,0,0,0,0,0,,14,9:54
1214,Gustav Nyquist\nyquigu01,26-173,RW,2016-03-12,DET,,NYR,W,0,0,0,0,2,0,0,0,2,0.0,22,16:04
1215,Dylan Larkin\larkidy01,19-140,C,2016-03-12,DET,,NYR,W,0,0,0,-1,2,0,0,0,6,0.0,28,17:34
1216,Niklas Kronwall\kronwni01,35-060,D,2016-03-12,DET,,NYR,W,0,0,0,0,0,0,0,0,0,,15,10:24
1217,Darren Helm\helmda01,29-051,C,2016-03-12,DET,,NYR,W,2,0,2,2,0,2,0,0,8,25.0,21,15:56
1218,Mike Green\greenmi03,30-214,D,2016-03-12,DET,,NYR,W,0,0,0,-1,0,0,0,0,0,,29,22:54
1219,Luke Glendening\glendlu01,26-047,C,2016-03-12,DET,,NYR,W,0,1,1,1,0,0,0,0,1,0.0,24,15:19
1220,Jonathan Ericsson\ericsjo01,32-010,D,2016-03-12,DET,,NYR,W,0,0,0,1,0,0,0,0,3,0.0,32,18:34
Rk,Player,Age,Pos,Date,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,S,S%,SHFT,TOI
1221,Danny DeKeyser\dekeyda01,26-005,D,2016-03-12,DET,,NYR,W,0,2,2,1,0,0,0,0,2,0.0,35,24:08
1222,Pavel Datsyuk\datsypa01,37-130,C,2016-03-12,DET,,NYR,W,0,1,1,1,0,0,0,0,4,0.0,26,20:54
1223,Andreas Athanasiou\athanan01,21-147,C,2016-03-12,DET,,NYR,W,0,0,0,0,0,0,0,0,0,,14,9:14
1224,Justin Abdelkader\abdelju01,29-016,LW,2016-03-12,DET,,NYR,W,0,1,1,-1,2,0,0,0,4,0.0,30,20:34
1225,Henrik Zetterberg\zettehe01,35-210,LW,2016-03-13,DET,,TOR,L,0,0,0,-1,0,0,0,0,2,0.0,24,20:36
1226,Tomas Tatar\tatarto01,25-263,C,2016-03-13,DET,,TOR,L,0,0,0,0,0,0,0,0,4,0.0,22,16:07
1227,Brendan Smith\smithbr05,27-034,D,2016-03-13,DET,,TOR,L,0,0,0,0,0,0,0,0,1,0.0,22,17:07
1228,Riley Sheahan\sheahri01,24-269,C,2016-03-13,DET,,TOR,L,0,0,0,0,0,0,0,0,1,0.0,19,14:58
1229,Brad Richards\richabr01,35-050,C,2016-03-13,DET,,TOR,L,0,0,0,0,0,0,0,0,1,0.0,19,17:38
1230,Kyle Quincey\quincky01,30-152,D,2016-03-13,DET,,TOR,L,0,0,0,0,2,0,0,0,1,0.0,25,16:49
1231,Teemu Pulkkinen\pulkkte01,24-071,RW,2016-03-13,DET,,TOR,L,0,0,0,0,0,0,0,0,2,0.0,14,10:55
1232,Gustav Nyquist\nyquigu01,26-172,RW,2016-03-13,DET,,TOR,L,0,0,0,-1,0,0,0,0,2,0.0,20,15:25
1233,Alexey Marchenko\marchal01,24-071,D,2016-03-13,DET,,TOR,L,0,0,0,0,0,0,0,0,1,0.0,24,16:23
1234,Dylan Larkin\larkidy01,19-139,C,2016-03-13,DET,,TOR,L,0,0,0,0,0,0,0,0,6,0.0,26,20:32
1235,Tomas Jurco\jurcoto01,23-290,RW,2016-03-13,DET,,TOR,L,0,0,0,0,0,0,0,0,0,,10,7:05
1236,Mike Green\greenmi03,30-213,D,2016-03-13,DET,,TOR,L,0,0,0,0,0,0,0,0,5,0.0,22,21:56
1237,Luke Glendening\glendlu01,26-046,C,2016-03-13,DET,,TOR,L,0,0,0,0,0,0,0,0,2,0.0,25,14:46
1238,Jonathan Ericsson\ericsjo01,32-011,D,2016-03-13,DET,,TOR,L,0,0,0,-1,0,0,0,0,0,,27,18:54
1239,Danny DeKeyser\dekeyda01,26-006,D,2016-03-13,DET,,TOR,L,0,0,0,-1,0,0,0,0,1,0.0,29,20:50
1240,Pavel Datsyuk\datsypa01,37-129,C,2016-03-13,DET,,TOR,L,0,0,0,0,0,0,0,0,7,0.0,21,17:32
Rk,Player,Age,Pos,Date,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,S,S%,SHFT,TOI
1241,Andreas Athanasiou\athanan01,21-146,C,2016-03-13,DET,,TOR,L,0,0,0,0,0,0,0,0,1,0.0,19,10:42
1242,Justin Abdelkader\abdelju01,29-017,LW,2016-03-13,DET,,TOR,L,0,0,0,-1,2,0,0,0,1,0.0,25,19:07
1243,Henrik Zetterberg\zettehe01,35-208,LW,2016-03-15,DET,@,PHI,L,0,0,0,-1,0,0,0,0,3,0.0,22,17:11
1244,Tomas Tatar\tatarto01,25-261,C,2016-03-15,DET,@,PHI,L,1,1,2,1,0,1,0,0,2,50.0,20,13:41
1245,Brendan Smith\smithbr05,27-036,D,2016-03-15,DET,@,PHI,L,0,0,0,-1,4,0,0,0,2,0.0,29,19:21
1246,Riley Sheahan\sheahri01,24-267,C,2016-03-15,DET,@,PHI,L,0,1,1,1,0,0,0,0,1,0.0,22,14:05
1247,Brad Richards\richabr01,35-048,C,2016-03-15,DET,@,PHI,L,0,0,0,0,2,0,0,0,2,0.0,19,13:39
1248,Kyle Quincey\quincky01,30-150,D,2016-03-15,DET,@,PHI,L,0,0,0,-1,0,0,0,0,3,0.0,28,16:32
1249,Gustav Nyquist\nyquigu01,26-170,RW,2016-03-15,DET,@,PHI,L,0,1,1,1,2,0,0,0,4,0.0,20,13:21
1250,Alexey Marchenko\marchal01,24-073,D,2016-03-15,DET,@,PHI,L,0,0,0,-1,2,0,0,0,1,0.0,27,16:53
1251,Anthony Mantha\manthan01,21-185,RW,2016-03-15,DET,@,PHI,L,0,0,0,0,0,0,0,0,4,0.0,20,14:45
1252,Dylan Larkin\larkidy01,19-137,C,2016-03-15,DET,@,PHI,L,0,0,0,-1,0,0,0,0,4,0.0,21,14:16
1253,Darren Helm\helmda01,29-054,C,2016-03-15,DET,@,PHI,L,0,0,0,-1,0,0,0,0,0,,17,11:40
1254,Mike Green\greenmi03,30-211,D,2016-03-15,DET,@,PHI,L,0,1,1,2,0,0,0,0,1,0.0,28,21:30
1255,Luke Glendening\glendlu01,26-044,C,2016-03-15,DET,@,PHI,L,0,0,0,-2,0,0,0,0,0,,21,15:24
1256,Jonathan Ericsson\ericsjo01,32-013,D,2016-03-15,DET,@,PHI,L,0,0,0,-1,0,0,0,0,0,,32,20:34
1257,Danny DeKeyser\dekeyda01,26-008,D,2016-03-15,DET,@,PHI,L,0,0,0,-2,2,0,0,0,2,0.0,34,22:41
1258,Pavel Datsyuk\datsypa01,37-127,C,2016-03-15,DET,@,PHI,L,1,1,2,1,0,1,0,0,4,25.0,24,16:38
1259,Andreas Athanasiou\athanan01,21-144,C,2016-03-15,DET,@,PHI,L,1,0,1,1,0,1,0,0,2,50.0,16,9:14
1260,Justin Abdelkader\abdelju01,29-019,LW,2016-03-15,DET,@,PHI,L,0,0,0,-1,0,0,0,0,2,0.0,27,18:24
Rk,Player,Age,Pos,Date,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,S,S%,SHFT,TOI
1261,Henrik Zetterberg\zettehe01,35-206,LW,2016-03-17,DET,@,CBJ,W,1,0,1,1,2,1,0,0,1,100.0,24,20:56
1262,Tomas Tatar\tatarto01,25-259,C,2016-03-17,DET,@,CBJ,W,0,0,0,0,0,0,0,0,2,0.0,19,13:04
1263,Brendan Smith\smithbr05,27-038,D,2016-03-17,DET,@,CBJ,W,0,0,0,3,2,0,0,0,1,0.0,26,17:47
1264,Riley Sheahan\sheahri01,24-265,C,2016-03-17,DET,@,CBJ,W,0,1,1,1,0,0,0,0,1,0.0,20,11:01
1265,Brad Richards\richabr01,35-046,C,2016-03-17,DET,@,CBJ,W,0,0,0,0,0,0,0,0,3,0.0,14,11:51
1266,Kyle Quincey\quincky01,30-148,D,2016-03-17,DET,@,CBJ,W,0,0,0,1,2,0,0,0,0,,26,18:31
1267,Gustav Nyquist\nyquigu01,26-168,RW,2016-03-17,DET,@,CBJ,W,0,0,0,0,0,0,0,0,1,0.0,20,15:05
1268,Alexey Marchenko\marchal01,24-075,D,2016-03-17,DET,@,CBJ,W,0,0,0,1,0,0,0,0,1,0.0,27,18:44
1269,Anthony Mantha\manthan01,21-183,RW,2016-03-17,DET,@,CBJ,W,0,0,0,0,0,0,0,0,2,0.0,17,14:25
1270,Dylan Larkin\larkidy01,19-135,C,2016-03-17,DET,@,CBJ,W,0,1,1,1,0,0,0,0,1,0.0,22,18:07
1271,Darren Helm\helmda01,29-056,C,2016-03-17,DET,@,CBJ,W,1,0,1,1,0,1,0,0,3,33.3,20,14:17
1272,Mike Green\greenmi03,30-209,D,2016-03-17,DET,@,CBJ,W,0,0,0,1,0,0,0,0,2,0.0,21,16:43
1273,Luke Glendening\glendlu01,26-042,C,2016-03-17,DET,@,CBJ,W,1,0,1,2,0,1,0,0,1,100.0,20,14:38
1274,Jonathan Ericsson\ericsjo01,32-015,D,2016-03-17,DET,@,CBJ,W,0,0,0,0,0,0,0,0,0,,28,19:11
1275,Danny DeKeyser\dekeyda01,26-010,D,2016-03-17,DET,@,CBJ,W,0,0,0,0,0,0,0,0,0,,33,23:49
1276,Pavel Datsyuk\datsypa01,37-125,C,2016-03-17,DET,@,CBJ,W,0,0,0,1,0,0,0,0,1,0.0,24,19:33
1277,Andreas Athanasiou\athanan01,21-142,C,2016-03-17,DET,@,CBJ,W,0,1,1,1,0,0,0,0,1,0.0,14,10:01
1278,Justin Abdelkader\abdelju01,29-021,LW,2016-03-17,DET,@,CBJ,W,0,1,1,1,0,0,0,0,1,0.0,26,18:06
1279,Henrik Zetterberg\zettehe01,35-204,LW,2016-03-19,DET,@,FLA,W,0,0,0,-1,0,0,0,0,0,,23,18:39
